,dataset,instance,interpreter,complex_model,result
115,diabetes,15,lime,mlp,1.1076907165874756
116,diabetes,16,lime,mlp,0.036085847831538335
117,diabetes,17,lime,mlp,0.3724903803131372
118,diabetes,18,lime,mlp,1.9728653067933832
119,diabetes,19,lime,mlp,0.05372585909157982
120,diabetes,20,lime,mlp,3.196168447722242
121,diabetes,21,lime,mlp,0.4274216128940675
122,diabetes,22,lime,mlp,1.0072415632924387
123,diabetes,23,lime,mlp,0.052750184222731485
124,diabetes,24,lime,mlp,0.7920669593409692
125,diabetes,25,lime,mlp,0.04339762545911242
126,diabetes,26,lime,mlp,0.30727850070798385
127,diabetes,27,lime,mlp,2.5032534834470868
128,diabetes,28,lime,mlp,0.3565545113621686
129,diabetes,29,lime,mlp,2.8901973790909965
130,diabetes,30,lime,mlp,1.3470896127711305
131,diabetes,31,lime,mlp,0.11939167791605845
132,diabetes,32,lime,mlp,4.010339946949453
133,diabetes,33,lime,mlp,0.6717032526781836
134,diabetes,34,lime,mlp,9.699161202632336
135,diabetes,35,lime,mlp,5.051265046319236
136,diabetes,36,lime,mlp,0.0887032719421996
137,diabetes,37,lime,mlp,2.501136413542296
138,diabetes,38,lime,mlp,0.1903317864201525
139,diabetes,39,lime,mlp,0.3098180470523205
140,diabetes,40,lime,mlp,1.9397980936250123
141,diabetes,41,lime,mlp,1.7384567910372477
142,diabetes,42,lime,mlp,3.3449587809177705
143,diabetes,43,lime,mlp,6.003075845062562
144,diabetes,44,lime,mlp,3.589504049451972
145,diabetes,45,lime,mlp,0.026328809306888468
146,diabetes,46,lime,mlp,4.032782560953089
147,diabetes,47,lime,mlp,0.4196064182007653
148,diabetes,48,lime,mlp,9.676499056323435
149,diabetes,49,lime,mlp,0.08812467840590481
150,diabetes,50,lime,mlp,5.509494964765248
151,diabetes,51,lime,mlp,2.8269501930169936
152,diabetes,52,lime,mlp,0.9472434310071894
153,diabetes,53,lime,mlp,0.08302259877097133
154,diabetes,54,lime,mlp,0.4925464185647577
155,diabetes,55,lime,mlp,0.2913935419538924
156,diabetes,56,lime,mlp,0.3293732784920419
157,diabetes,57,lime,mlp,0.9252641900972192
158,diabetes,58,lime,mlp,1.3451214867795411
159,diabetes,59,lime,mlp,3.190685893142553
160,diabetes,60,lime,mlp,0.3655209078466729
161,diabetes,61,lime,mlp,5.532444632183896
162,diabetes,62,lime,mlp,2.099351331652907
163,diabetes,63,lime,mlp,2.8050139376752936
164,diabetes,64,lime,mlp,0.3998729879544978
165,diabetes,65,lime,mlp,14.473279083312482
166,diabetes,66,lime,mlp,10.106349854082964
167,diabetes,67,lime,mlp,1.263965684626573
168,diabetes,68,lime,mlp,0.5833450246411003
169,diabetes,69,lime,mlp,7.961410239377303
170,diabetes,70,lime,mlp,8.94918718860053
171,diabetes,71,lime,mlp,3.1780890020149397
172,diabetes,72,lime,mlp,22.2118789152461
173,diabetes,73,lime,mlp,1.9413006770508736
174,diabetes,74,lime,mlp,5.267384061349121
175,diabetes,75,lime,mlp,0.7952328095044949
176,diabetes,76,lime,mlp,0.2583597225840366
177,diabetes,77,lime,mlp,0.051206737294212816
178,diabetes,78,lime,mlp,20.709835938398165
179,diabetes,79,lime,mlp,7.825781718492961
180,diabetes,80,lime,mlp,1.7650021953666035
181,diabetes,81,lime,mlp,1.7549193281627085
182,diabetes,82,lime,mlp,0.03429313339445157
183,diabetes,83,lime,mlp,2.130853129623682
184,diabetes,84,lime,mlp,0.05262642514437385
185,diabetes,85,lime,mlp,1.5416450611474444
186,diabetes,86,lime,mlp,0.2344256054283982
187,diabetes,87,lime,mlp,3.9209647350588863
188,diabetes,88,lime,mlp,0.7258383911177931
189,diabetes,89,lime,mlp,6.117340840924706
190,diabetes,90,lime,mlp,0.837620737107245
191,diabetes,91,lime,mlp,3.7493386317878095
192,diabetes,92,lime,mlp,1.7568726990239592
193,diabetes,93,lime,mlp,2.6476315798162933
194,diabetes,94,lime,mlp,0.4004716877069805
195,diabetes,95,lime,mlp,0.14642197269801682
196,diabetes,96,lime,mlp,10.820609480168306
197,diabetes,97,lime,mlp,1.6066634810608558
198,diabetes,98,lime,mlp,2.933327197188801
199,diabetes,99,lime,mlp,0.559031659852749
200,diabetes,0,lime,sgdr,8.453475871676929
201,diabetes,1,lime,sgdr,0.2692939045652705
202,diabetes,2,lime,sgdr,0.18995826703630025
203,diabetes,3,lime,sgdr,0.32935536780532937
204,diabetes,4,lime,sgdr,0.005929688458537507
205,diabetes,5,lime,sgdr,0.13396142323730956
206,diabetes,6,lime,sgdr,0.0032652451377673483
207,diabetes,7,lime,sgdr,7.551238612675687
208,diabetes,8,lime,sgdr,4.912262863559295
209,diabetes,9,lime,sgdr,1.5487414294394013
210,diabetes,10,lime,sgdr,3.2223196563389283
211,diabetes,11,lime,sgdr,0.08016662845146151
212,diabetes,12,lime,sgdr,1.5661542592443731
213,diabetes,13,lime,sgdr,0.11462706101009584
214,diabetes,14,lime,sgdr,0.3168899625803793
215,diabetes,15,lime,sgdr,0.1648277473780557
216,diabetes,16,lime,sgdr,0.008037002536327224
217,diabetes,17,lime,sgdr,0.2756278204857881
218,diabetes,18,lime,sgdr,0.0060893170036581965
219,diabetes,19,lime,sgdr,0.2714779217995546
220,diabetes,20,lime,sgdr,0.01838963791407249
221,diabetes,21,lime,sgdr,0.1474931310383674
222,diabetes,22,lime,sgdr,0.01939340384766065
223,diabetes,23,lime,sgdr,0.046517701665654436
224,diabetes,24,lime,sgdr,0.1166254244429009
225,diabetes,25,lime,sgdr,0.5716811937847246
226,diabetes,26,lime,sgdr,0.05675022571700253
227,diabetes,27,lime,sgdr,0.13252981548824455
228,diabetes,28,lime,sgdr,0.10640970333083538
229,diabetes,29,lime,sgdr,0.8809851500670819
230,diabetes,30,lime,sgdr,0.01778538482059176
231,diabetes,31,lime,sgdr,1.2323786339034015
232,diabetes,32,lime,sgdr,0.6266616154415803
233,diabetes,33,lime,sgdr,0.5638457465640926
234,diabetes,34,lime,sgdr,4.4360446975384615
235,diabetes,35,lime,sgdr,1.7583092455052751
236,diabetes,36,lime,sgdr,0.03222596811810017
237,diabetes,37,lime,sgdr,0.4187378319538323
238,diabetes,38,lime,sgdr,0.1265427434674539
239,diabetes,39,lime,sgdr,0.07683539509556905
240,diabetes,40,lime,sgdr,0.4685562091047956
241,diabetes,41,lime,sgdr,0.05088181818721452
242,diabetes,42,lime,sgdr,0.08551495290756117
243,diabetes,43,lime,sgdr,1.1766058190951396
244,diabetes,44,lime,sgdr,0.6029267901537926
245,diabetes,45,lime,sgdr,0.03927763817014901
246,diabetes,46,lime,sgdr,3.1639277766058487
247,diabetes,47,lime,sgdr,0.049229509457606936
248,diabetes,48,lime,sgdr,2.7815309361394607
249,diabetes,49,lime,sgdr,0.01338247201352412
250,diabetes,50,lime,sgdr,2.7797307410703014
251,diabetes,51,lime,sgdr,2.155225055031151
252,diabetes,52,lime,sgdr,0.4978576436792372
253,diabetes,53,lime,sgdr,0.01729183376874786
254,diabetes,54,lime,sgdr,0.0045502227261197065
255,diabetes,55,lime,sgdr,0.13039992877446846
256,diabetes,56,lime,sgdr,0.007252178981110741
257,diabetes,57,lime,sgdr,0.06688773188787794
258,diabetes,58,lime,sgdr,0.7336477344794493
259,diabetes,59,lime,sgdr,0.5659278470623692
260,diabetes,60,lime,sgdr,0.0774244243857128
261,diabetes,61,lime,sgdr,2.637293053884954
262,diabetes,62,lime,sgdr,0.2589826310258365
263,diabetes,63,lime,sgdr,1.7541126031631449
264,diabetes,64,lime,sgdr,0.1703720837502732
265,diabetes,65,lime,sgdr,0.6434375131126414
266,diabetes,66,lime,sgdr,5.0364295196751625
267,diabetes,67,lime,sgdr,4.68468653251502
268,diabetes,68,lime,sgdr,0.36729081241444417
269,diabetes,69,lime,sgdr,0.9296545790161672
270,diabetes,70,lime,sgdr,5.359307546347294
271,diabetes,71,lime,sgdr,0.16274622511760206
272,diabetes,72,lime,sgdr,7.1048996469333074
273,diabetes,73,lime,sgdr,3.1010316728577965
274,diabetes,74,lime,sgdr,1.853727638921071
275,diabetes,75,lime,sgdr,0.007360024478310323
276,diabetes,76,lime,sgdr,0.004088316589264702
277,diabetes,77,lime,sgdr,0.21148824325434232
278,diabetes,78,lime,sgdr,7.2707592434416295
279,diabetes,79,lime,sgdr,0.4197824661407658
280,diabetes,80,lime,sgdr,0.02481016209403633
281,diabetes,81,lime,sgdr,0.019233224997058568
282,diabetes,82,lime,sgdr,0.5202618547341314
283,diabetes,83,lime,sgdr,0.14355062193450285
284,diabetes,84,lime,sgdr,0.005809313632190264
285,diabetes,85,lime,sgdr,0.029228138997454668
286,diabetes,86,lime,sgdr,0.3698487319371402
287,diabetes,87,lime,sgdr,0.0754495156966143
288,diabetes,88,lime,sgdr,0.4226626950802015
289,diabetes,89,lime,sgdr,0.037514226697610766
290,diabetes,90,lime,sgdr,0.3708431211573619
291,diabetes,91,lime,sgdr,2.9167834436004547
292,diabetes,92,lime,sgdr,0.27022062803352176
293,diabetes,93,lime,sgdr,0.09184300158851844
294,diabetes,94,lime,sgdr,0.1505893505496332
295,diabetes,95,lime,sgdr,0.0074941892887596066
296,diabetes,96,lime,sgdr,4.232774017523023
297,diabetes,97,lime,sgdr,1.5589422652686222
298,diabetes,98,lime,sgdr,0.03445777949882189
299,diabetes,99,lime,sgdr,1.3133728480835285
300,boston,0,lime,rf,0.3900453413856403
301,boston,1,lime,rf,0.046856057195587233
302,boston,2,lime,rf,2.214419791508873
303,boston,3,lime,rf,0.5241295366205775
304,boston,4,lime,rf,0.08178920938281313
305,boston,5,lime,rf,0.1341419632732761
306,boston,6,lime,rf,0.2962752164651181
307,boston,7,lime,rf,1.6095522529671655
308,boston,8,lime,rf,0.016496677122617185
309,boston,9,lime,rf,0.4485835494546118
310,boston,10,lime,rf,3.9960553017790494
311,boston,11,lime,rf,0.5313641391004194
312,boston,12,lime,rf,0.9235563847393728
313,boston,13,lime,rf,6.4762763588620595
314,boston,14,lime,rf,0.01125654220760478
315,boston,15,lime,rf,0.09653483243402408
316,boston,16,lime,rf,0.5873923457195473
317,boston,17,lime,rf,0.008340185756164312
318,boston,18,lime,rf,1.30842611179381
319,boston,19,lime,rf,0.7285160190315692
320,boston,20,lime,rf,0.14290329483624492
321,boston,21,lime,rf,0.023642345474489908
322,boston,22,lime,rf,0.008262854848402792
323,boston,23,lime,rf,1.6156937519082162
324,boston,24,lime,rf,0.14904265080027249
325,boston,25,lime,rf,0.6324831930488727
326,boston,26,lime,rf,0.028959842227688205
327,boston,27,lime,rf,0.02465274597373334
328,boston,28,lime,rf,0.02850572812260188
329,boston,29,lime,rf,0.4764525797482454
330,boston,30,lime,rf,3.7529368259334936
331,boston,31,lime,rf,0.03700448400972302
332,boston,32,lime,rf,0.04954030545338879
333,boston,33,lime,rf,0.06829848642513278
334,boston,34,lime,rf,5.621884197606171
335,boston,35,lime,rf,0.1683885038357342
336,boston,36,lime,rf,3.34052254591246
337,boston,37,lime,rf,1.0019088550907742
338,boston,38,lime,rf,0.275967156356607
339,boston,39,lime,rf,3.831564625393984
340,boston,40,lime,rf,1.556245846939824
341,boston,41,lime,rf,0.9739470254528124
342,boston,42,lime,rf,0.0364978967063302
343,boston,43,lime,rf,0.12162991494982585
344,boston,44,lime,rf,1.002513991577195
345,boston,45,lime,rf,0.029876452766791874
346,boston,46,lime,rf,0.2502600085370428
347,boston,47,lime,rf,0.25333844174408604
348,boston,48,lime,rf,0.2716022255612542
349,boston,49,lime,rf,1.3591480898482893
350,boston,50,lime,rf,5.684531514822237
351,boston,51,lime,rf,0.231084147400471
352,boston,52,lime,rf,0.03544465704736817
353,boston,53,lime,rf,0.02126376907592681
354,boston,54,lime,rf,0.4482327174868948
355,boston,55,lime,rf,4.358528723974851
356,boston,56,lime,rf,0.19391612755709248
357,boston,57,lime,rf,0.29978693224678465
358,boston,58,lime,rf,1.88254875926068
359,boston,59,lime,rf,0.4284551258130292
360,boston,60,lime,rf,0.4502448413819281
361,boston,61,lime,rf,0.014884109141576774
362,boston,62,lime,rf,0.11818017810368213
363,boston,63,lime,rf,1.86461514149508
364,boston,64,lime,rf,1.2864939963950734
365,boston,65,lime,rf,3.6809825627745987
366,boston,66,lime,rf,0.12580504386579108
367,boston,67,lime,rf,0.2014237288449349
368,boston,68,lime,rf,0.02311972773543679
369,boston,69,lime,rf,2.7714202055462533
